state,year,crop,rainfall_mm,avg_temp_c,min_temp_c,max_temp_c,humidity_pct,solar_radiation,nitrogen_n,phosphorus_p,potassium_k,soil_ph,fertilizer_kg_ha,pesticide_kg_ha,area_harvested_ha,yield_kg_ha,source
Global Baseline,2020,Mixed Grain Baseline,1190.87,24.01590061301694,19.02,30.02,65.0,18.5,70.06313885010813,22.0439867893196,17.968904341438705,6.5,70.124032029168,4.5,1000.0,10062.42,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1398.67,28.962355114456816,23.96,34.96,65.0,18.5,76.99765187429867,23.022484939307844,18.96062020151501,6.5,75.02097236274746,4.5,1000.0,9896.78,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1382.64,29.0678661150152,24.07,35.07,65.0,18.5,73.05383348051828,20.981332931334197,19.13999428656146,6.5,72.10322533924577,4.5,1000.0,9847.86,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1335.97,27.04048922113099,22.04,33.04,65.0,18.5,77.90973860016214,21.86001970266777,18.92622568270789,6.5,77.92543827121595,4.5,1000.0,10105.13,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1366.71,28.04835487606723,23.05,34.05,65.0,18.5,77.00418595567058,23.023212541584936,18.90956905981974,6.5,79.01794811769815,4.5,1000.0,10162.26,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1398.67,28.97138170528308,23.97,34.97,65.0,18.5,76.93421697162147,22.99851552186323,18.867980248729104,6.5,74.9499301827776,4.5,1000.0,9850.64,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1374.09,28.854954557442245,23.85,34.85,65.0,18.5,72.83329407837479,21.128111352314964,18.98094781927931,6.5,72.02739147132945,4.5,1000.0,9977.3,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1386.17,28.90678079467288,23.91,34.91,65.0,18.5,74.88619539911068,21.945837447384083,18.95698654189229,6.5,76.96097969638402,4.5,1000.0,10157.75,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1406.92,29.222035545995865,24.22,35.22,65.0,18.5,76.83026253463272,23.07677224500097,19.001698786351728,6.5,75.25538252288383,4.5,1000.0,10054.12,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1380.05,29.022514457711114,24.02,35.02,65.0,18.5,72.85312319881614,22.91968917083033,19.935464286414746,6.5,73.02792100137138,4.5,1000.0,10071.24,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1383.43,29.06460627979603,24.06,35.06,65.0,18.5,73.2341651243814,21.017285563228363,19.163277831596087,6.5,71.97799959326804,4.5,1000.0,9884.66,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1390.99,29.31190165936676,24.31,35.31,65.0,18.5,73.0144831514992,20.970352913900424,18.899397414932185,6.5,72.08969763332536,4.5,1000.0,9880.63,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1194.36,24.138053447927376,19.14,30.14,65.0,18.5,69.90532387367689,22.06684664846349,18.02051742573657,6.5,69.89321036056427,4.5,1000.0,9962.6,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1380.17,29.008237303081557,24.01,35.01,65.0,18.5,72.97601498821469,23.06384342012528,20.03565143626618,6.5,72.91855303180131,4.5,1000.0,9738.17,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1377.54,28.941354020543734,23.94,34.94,65.0,18.5,72.91858503888783,22.988421334069336,20.104841839234147,6.5,72.98899731907424,4.5,1000.0,10023.07,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1378.09,28.92848058603372,23.93,34.93,65.0,18.5,73.11838665968038,21.24501971068953,18.962606100074566,6.5,71.8471928682166,4.5,1000.0,9910.59,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1337.15,27.089854353183966,22.09,33.09,65.0,18.5,77.8008976247957,22.05225761365529,19.041669087969662,6.5,77.97463575024253,4.5,1000.0,9841.09,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1378.62,28.94278322241749,23.94,34.94,65.0,18.5,73.12484126464514,23.021951428293335,20.001719946115163,6.5,73.12200996889064,4.5,1000.0,9966.64,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1337.53,27.06709661425499,22.07,33.07,65.0,18.5,78.03589218827537,21.925209790215884,18.911242014612608,6.5,78.03299240339983,4.5,1000.0,10036.45,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1552.36,33.764241545219384,28.76,39.76,65.0,18.5,74.12330785361239,21.86220753101504,16.08816313376095,6.5,69.92723518314442,4.5,1000.0,10009.27,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1566.06,34.16566051750704,29.17,40.17,65.0,18.5,74.05265182254581,21.932297827896004,15.911059509666217,6.5,70.05924779783223,4.5,1000.0,9927.59,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1332.9,26.94773916831042,21.95,32.95,65.0,18.5,77.9450683410186,21.914286930403428,18.99425072855125,6.5,78.14739218917859,4.5,1000.0,9955.11,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1373.87,28.84029251886647,23.84,34.84,65.0,18.5,72.89149222079408,21.127111273534663,19.037091772951687,6.5,72.05624991732687,4.5,1000.0,10107.77,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1355.7,27.876618520009384,22.88,33.88,65.0,18.5,76.00304340315492,21.783221152450132,18.93373398871025,6.5,76.97254915733075,4.5,1000.0,9846.2,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1376.66,28.898502737024625,23.9,34.9,65.0,18.5,73.04175638379758,20.9341223112182,18.925637733940224,6.5,71.99870051877707,4.5,1000.0,10006.48,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1399.39,28.977413893478744,23.98,34.98,65.0,18.5,77.03642034855791,23.05071477258336,18.940801657534266,6.5,74.96033901397189,4.5,1000.0,9927.91,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1362.79,27.95341523702326,22.95,33.95,65.0,18.5,76.88331835107103,23.085396364786323,18.98757325070805,6.5,78.78784373856766,4.5,1000.0,9955.12,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1384.64,29.142257511883027,24.14,35.14,65.0,18.5,72.93295776319668,23.19118695919337,19.94612192789265,6.5,72.90602955341978,4.5,1000.0,10045.1,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1377.35,28.93196954391057,23.93,34.93,65.0,18.5,72.94566689146656,22.948364541320053,20.058340124175498,6.5,73.00896396565132,4.5,1000.0,9840.34,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1399.84,28.996919975829357,24.0,35.0,65.0,18.5,76.9896369415295,22.997964474226567,18.94650950297646,6.5,75.20837847661699,4.5,1000.0,10021.38,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1559.81,33.96811293977513,28.97,39.97,65.0,18.5,74.18559956279157,21.959604680104125,16.078218027331886,6.5,70.0776324713994,4.5,1000.0,9825.24,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1376.85,28.9233414309625,23.92,34.92,65.0,18.5,72.90647038167816,23.12492614966866,19.86274118581501,6.5,73.00315363571528,4.5,1000.0,9826.61,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1404.53,29.12199637545068,24.12,35.12,65.0,18.5,77.05130811033665,23.063161924218385,18.97631544047293,6.5,75.0860650499393,4.5,1000.0,10000.32,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1367.48,28.192828613915065,23.19,34.19,65.0,18.5,76.14587579002679,22.173002184053352,19.01126317682853,6.5,76.88244992126607,4.5,1000.0,10120.36,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1361.26,28.029961171518725,23.03,34.03,65.0,18.5,76.04272611857496,21.983443576586417,19.09164829017961,6.5,76.85961200319488,4.5,1000.0,9951.95,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1358.69,27.82520325409777,22.83,33.83,65.0,18.5,76.96072337087655,23.086840505023574,19.043330267816355,6.5,79.00429826376538,4.5,1000.0,10020.81,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1405.63,29.17011131761893,24.17,35.17,65.0,18.5,76.93592301513122,22.905511106506665,18.90168123398701,6.5,75.08573516297707,4.5,1000.0,9959.17,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1186.94,23.902288774664942,18.9,29.9,65.0,18.5,70.0726253208843,21.95172800387804,17.903815106472248,6.5,69.91782948535348,4.5,1000.0,9937.06,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1332.57,28.06141092036233,23.06,34.06,65.0,18.5,70.08490696246882,22.014649629336947,18.827543282340635,6.5,70.05463365891292,4.5,1000.0,9972.82,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1363.33,28.07941876213263,23.08,34.08,65.0,18.5,76.11058182093196,21.95144731583308,19.024299240581424,6.5,76.95376264013538,4.5,1000.0,10013.02,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1362.66,27.934176395181787,22.93,33.93,65.0,18.5,76.99251643497826,22.843060617774853,18.98751759369512,6.5,79.00449407442726,4.5,1000.0,9924.29,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1360.34,28.014121652832536,23.01,34.01,65.0,18.5,75.96979495945504,21.894776371662942,19.095191548187834,6.5,77.05766022186181,4.5,1000.0,9852.77,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1391.77,29.062517314847003,24.06,35.06,65.0,18.5,74.91712502751608,21.958093162153094,18.96747011326716,6.5,77.02799610134369,4.5,1000.0,10071.49,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1366.97,28.073066586969148,23.07,34.07,65.0,18.5,76.88159233326908,23.181076820844638,18.923562371402667,6.5,78.93820641910553,4.5,1000.0,9987.23,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1190.3,24.009680183583736,19.01,30.01,65.0,18.5,69.99229269122888,21.997060942639628,18.025090363020016,6.5,69.83386891353288,4.5,1000.0,10105.32,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1402.23,29.070477702250084,24.07,35.07,65.0,18.5,76.9526922418644,22.95438793586167,19.022518357304413,6.5,75.13091763303495,4.5,1000.0,9916.77,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1336.41,27.0542423555585,22.05,33.05,65.0,18.5,77.90146861031705,21.867444947946545,19.084302125917095,6.5,78.01583678049938,4.5,1000.0,10045.78,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1403.93,29.09252099761694,24.09,35.09,65.0,18.5,77.13746427576386,22.98481259590976,18.98899463401233,6.5,75.26293805180363,4.5,1000.0,10023.38,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1376.71,28.9256203559266,23.93,34.93,65.0,18.5,72.86288152518503,20.996229072877554,19.053521842352453,6.5,71.96782039838762,4.5,1000.0,10087.38,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1326.37,27.873480033511004,22.87,33.87,65.0,18.5,70.15943817209845,21.962665561582025,19.109376368690025,6.5,69.99094146183337,4.5,1000.0,9898.77,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1188.06,23.944958230705645,18.94,29.94,65.0,18.5,69.9982006296907,21.91572614826637,18.110956309768905,6.5,69.99258926692141,4.5,1000.0,9938.32,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1396.64,29.18555800228788,24.19,35.19,65.0,18.5,75.02933622787495,22.122501939926,19.105953454489303,6.5,76.91842108120149,4.5,1000.0,9971.96,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1381.62,29.03429256035626,24.03,35.03,65.0,18.5,73.08407203360052,22.902839468500407,20.006667736837716,6.5,73.10042610828503,4.5,1000.0,9990.68,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1198.88,24.21175685608476,19.21,30.21,65.0,18.5,70.29381081532229,21.884342887537876,17.944167896145554,6.5,70.01956054058353,4.5,1000.0,9944.7,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1335.16,26.99942318904509,22.0,33.0,65.0,18.5,78.03559980464343,22.00283672403834,19.181601614000137,6.5,77.79363097132139,4.5,1000.0,9962.89,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1408.0,29.20892602574384,24.21,35.21,65.0,18.5,77.13793365853967,23.001668194257643,19.07198365970223,6.5,74.89291148579876,4.5,1000.0,10116.17,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1363.45,28.064278374039954,23.06,34.06,65.0,18.5,76.23961950749731,22.07520044512616,19.078283776795693,6.5,76.9281256348154,4.5,1000.0,9969.07,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1362.07,28.04879668342477,23.05,34.05,65.0,18.5,76.07234830104002,21.789048026499,19.170130799832723,6.5,77.05794580133946,4.5,1000.0,10207.94,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1376.31,28.893098184821355,23.89,34.89,65.0,18.5,73.0106393093929,20.883783813755866,18.91764319829125,6.5,71.98116092446,4.5,1000.0,9992.85,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1358.54,27.95886429811256,22.96,33.96,65.0,18.5,75.9956024948352,21.71657859002316,19.14384941837405,6.5,76.84711022155851,4.5,1000.0,9893.32,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1330.51,27.97838365865532,22.98,33.98,65.0,18.5,70.25319113923096,22.22116958225789,18.88989301537719,6.5,70.0463855363148,4.5,1000.0,10044.1,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1184.79,23.84178608990945,18.84,29.84,65.0,18.5,70.06563681248068,21.746758728283343,18.105370401768383,6.5,70.018190027138,4.5,1000.0,9909.26,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1394.44,28.83099085599741,23.83,34.83,65.0,18.5,77.07195589543592,23.14526316194381,18.81941837439883,6.5,74.9536617577381,4.5,1000.0,9975.62,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1359.12,27.970262698532352,22.97,33.97,65.0,18.5,76.03234338171053,22.10284154975065,18.91807646014958,6.5,77.07320546540852,4.5,1000.0,9976.18,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1379.31,28.975307697593937,23.98,34.98,65.0,18.5,73.0343546557587,23.18891521503204,19.81904315598697,6.5,72.94566079171116,4.5,1000.0,9813.11,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1356.77,27.91227369982972,22.91,33.91,65.0,18.5,75.96851533511051,21.891889303195747,18.97866879593856,6.5,77.10600206522464,4.5,1000.0,9891.77,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1557.89,33.92708329220123,28.93,39.93,65.0,18.5,74.08745355061066,22.06515656444584,15.854468795432076,6.5,69.98787860617729,4.5,1000.0,9772.98,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1380.78,29.038636404989894,24.04,35.04,65.0,18.5,72.88544334942776,23.09550007832019,20.017017388542627,6.5,72.99621813001887,4.5,1000.0,9855.68,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1373.56,28.815963702523348,23.82,34.82,65.0,18.5,72.99987125382579,20.9536896264195,18.84258075180798,6.5,72.03245838255432,4.5,1000.0,9849.73,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1375.28,28.862446686322,23.86,34.86,65.0,18.5,73.0179724938868,23.190386629815027,20.078919237074285,6.5,72.92307980125588,4.5,1000.0,10176.38,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1336.27,26.9949429553815,21.99,32.99,65.0,18.5,78.28971564384153,22.024679345573094,19.126870100334408,6.5,77.8822515487864,4.5,1000.0,10174.04,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1361.4,28.038492078225197,23.04,34.04,65.0,18.5,76.01118854949343,21.94226826310373,18.9301274426003,6.5,76.95898195626185,4.5,1000.0,10035.34,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1379.64,29.00504262492388,24.01,35.01,65.0,18.5,72.89180538029728,21.0601331427904,19.07463728559612,6.5,71.95616871118168,4.5,1000.0,9977.75,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1192.85,24.07543335660748,19.08,30.08,65.0,18.5,70.04191145467072,22.077191909660684,17.900521991338515,6.5,69.97869663323254,4.5,1000.0,9939.65,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1327.51,27.91469394354361,22.91,33.91,65.0,18.5,70.09888213426643,21.79828726585704,18.837235895751512,6.5,70.06833243689057,4.5,1000.0,9958.85,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1192.1,24.058680885371803,19.06,30.06,65.0,18.5,70.0085502573709,21.909378636197445,17.868845687586425,6.5,69.99042605790225,4.5,1000.0,10050.19,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1557.63,33.948455938809666,28.95,39.95,65.0,18.5,73.88623235152522,22.026047596761003,16.09572297381592,6.5,70.12969516690583,4.5,1000.0,10240.37,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1353.73,27.82771081361386,22.83,33.83,65.0,18.5,75.9525028329429,21.951135378718806,19.02132348662684,6.5,77.09259089890594,4.5,1000.0,10007.96,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1384.23,29.13228141834595,24.13,35.13,65.0,18.5,72.91972666237446,23.072334963496868,20.03647293610261,6.5,72.94854091430595,4.5,1000.0,9821.76,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1341.76,27.18927917791217,22.19,33.19,65.0,18.5,78.02646086365004,21.92231512068874,19.01003974764754,6.5,77.94366973311675,4.5,1000.0,10048.62,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1358.87,27.937237693509758,22.94,33.94,65.0,18.5,76.21236433862268,21.90116133897784,19.062717985100747,6.5,76.95084395639917,4.5,1000.0,10015.46,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1379.01,28.995566709447928,24.0,35.0,65.0,18.5,72.83366216174048,22.95981985986386,20.00547580641436,6.5,73.04287832307104,4.5,1000.0,9945.42,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1364.99,27.99071983196382,22.99,33.99,65.0,18.5,77.0638376761494,23.10352347538066,18.96064430240843,6.5,79.08400840640958,4.5,1000.0,10140.3,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1339.0,28.250892197080983,23.25,34.25,65.0,18.5,70.04428889004191,22.03013756591404,19.09412130035019,6.5,70.0819374614462,4.5,1000.0,10007.98,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1186.96,23.923636873330423,18.92,29.92,65.0,18.5,69.92732147523931,22.1236827231416,17.961724674797917,6.5,69.99090325503879,4.5,1000.0,9813.83,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1398.07,28.935501851628427,23.94,34.94,65.0,18.5,77.0653828575852,22.916710649983383,18.98550133127914,6.5,75.01981139285773,4.5,1000.0,9935.29,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1388.03,28.943413174059,23.94,34.94,65.0,18.5,75.00162178926834,22.060949133316974,19.06503801365413,6.5,76.88786956695316,4.5,1000.0,10085.98,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1363.93,28.112367955570157,23.11,34.11,65.0,18.5,75.99871521563098,21.83066811894812,18.89242532255043,6.5,77.08524503407804,4.5,1000.0,10022.36,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1377.04,28.90782780930273,23.91,34.91,65.0,18.5,73.05357582881635,20.94172848916745,19.08543458571545,6.5,71.94401750123146,4.5,1000.0,10049.39,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1334.64,27.00616584697374,22.01,33.01,65.0,18.5,77.8858219825878,22.21425037642165,19.040086620896304,6.5,77.89767239980287,4.5,1000.0,10086.13,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1382.63,29.06699207145419,24.07,35.07,65.0,18.5,73.05625749584853,23.09045322542025,19.912890049322368,6.5,73.0347275583787,4.5,1000.0,10012.44,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1186.64,23.891375023069237,18.89,29.89,65.0,18.5,70.08858039531574,22.01960127573049,17.882403179586667,6.5,69.9706226322374,4.5,1000.0,10071.73,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1375.71,28.872874175618914,23.87,34.87,65.0,18.5,73.0325640030561,23.11160421661012,20.114613126222796,6.5,72.91245660326297,4.5,1000.0,10016.83,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1329.5,27.976998624267303,22.98,33.98,65.0,18.5,70.06096601031871,22.1119848176603,19.154267788462864,6.5,70.16352545645313,4.5,1000.0,9988.74,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1193.45,24.061830469497583,19.06,30.06,65.0,18.5,70.25770158345998,21.88273981259091,17.98071105485802,6.5,69.96045302875584,4.5,1000.0,10010.56,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1186.81,23.910198692916484,18.91,29.91,65.0,18.5,69.98972524577167,22.007383569483647,17.932566040198413,6.5,70.08225034449386,4.5,1000.0,9844.37,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1375.86,28.884391348488617,23.88,34.88,65.0,18.5,72.98142428524226,22.98653034069945,20.14868235042897,6.5,72.99326638188094,4.5,1000.0,10035.58,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1366.14,28.170075477185264,23.17,34.17,65.0,18.5,76.03819716645856,21.87057055203422,18.92297277937945,6.5,77.03860658949175,4.5,1000.0,9946.81,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1391.33,29.032297157771136,24.03,35.03,65.0,18.5,75.03936803270614,22.05552898027613,18.987699705916704,6.5,77.08510299594346,4.5,1000.0,10241.14,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1190.51,24.0433833440771,19.04,30.04,65.0,18.5,69.79741575613305,22.04977480608203,17.887696373691192,6.5,69.96642052538732,4.5,1000.0,10070.99,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1379.68,29.012166505602995,24.01,35.01,65.0,18.5,72.85137805531544,22.921356568328648,20.034136335018854,6.5,72.91618227346973,4.5,1000.0,9899.7,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1559.37,33.98743856466011,28.99,39.99,65.0,18.5,73.96152238324272,22.10101907595625,15.851133927792208,6.5,69.92232879557781,4.5,1000.0,10116.54,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1329.86,27.9912341935576,22.99,33.99,65.0,18.5,70.03349577443049,21.953344098071963,19.07453548887332,6.5,69.9088460945131,4.5,1000.0,10060.25,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1630.0,37.0,32.0,43.0,65.0,18.5,67.0,18.0,15.0,6.5,65.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1585.0,36.0,31.0,42.0,65.0,18.5,65.0,21.0,16.0,6.5,55.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1655.0,38.0,33.0,44.0,65.0,18.5,65.0,19.0,17.0,6.5,55.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1560.0,36.0,31.0,42.0,65.0,18.5,60.0,21.0,16.0,6.5,55.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1655.0,38.0,33.0,44.0,65.0,18.5,65.0,19.0,17.0,6.5,55.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1635.0,38.0,33.0,44.0,65.0,18.5,61.0,20.0,18.0,6.5,55.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1585.0,36.0,31.0,42.0,65.0,18.5,65.0,19.0,15.0,6.5,55.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1735.0,40.0,35.0,46.0,65.0,18.5,67.0,18.0,15.0,6.5,56.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1670.0,38.0,33.0,44.0,65.0,18.5,68.0,20.0,16.0,6.5,55.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1610.0,37.0,32.0,43.0,65.0,18.5,63.0,20.0,18.0,6.5,60.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1615.0,36.0,31.0,42.0,65.0,18.5,71.0,21.0,17.0,6.5,72.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1665.0,39.0,34.0,45.0,65.0,18.5,60.0,20.0,16.0,6.5,60.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1600.0,36.0,31.0,42.0,65.0,18.5,68.0,21.0,16.0,6.5,65.0,4.5,1000.0,7000.0,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1736.55,40.02318121866277,35.02,46.02,65.0,18.5,67.14721238993974,18.08006336927681,15.172330255030309,6.5,56.04499656840213,4.5,1000.0,7013.31,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1736.82,40.01560573812591,35.02,46.02,65.0,18.5,67.25512573408774,18.121136738889284,14.96567113493907,6.5,56.09219853467868,4.5,1000.0,7087.39,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1617.0,37.188998221833096,32.19,43.19,65.0,18.5,63.078000628821584,20.115906725479363,18.05871502253158,6.5,60.04961461953906,4.5,1000.0,7020.08,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1558.34,35.94270201798018,30.94,41.94,65.0,18.5,60.06881252659876,21.08695445141461,15.832222885380965,6.5,55.211182378393865,4.5,1000.0,6988.93,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1636.23,38.04022962191213,33.04,44.04,65.0,18.5,60.96394660518953,20.017171559983947,17.971828317615383,6.5,55.04274697584447,4.5,1000.0,7002.23,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1598.96,35.96186194184235,30.96,41.96,65.0,18.5,68.05907499762979,20.86207380659411,15.91659468737861,6.5,64.92287418217718,4.5,1000.0,6969.75,Global_Kaggle_Baseline
Global Baseline,2020,Mixed Grain Baseline,1667.5,37.9219311176635,32.92,43.92,65.0,18.5,68.04628297993175,20.006262405228227,15.934554949792872,6.5,55.04101900444336,4.5,1000.0,7084.45,Global_Kaggle_Baseline
